from_stop_id,to_stop_id,from_trip_id,to_trip_id,transfer_type
24638,24638,2023-06-03_1002-3_0,2023-06-03_1002-3_1,1
24638,24638,2023-06-03_1102-3_0,2023-06-03_1102-3_1,1
80416,80416,2023-06-03_13112-3_0,2023-06-03_13112-3_1,1
47258,47258,2023-06-03_1913-2_0,2023-06-03_1913-2_1,1
80416,80416,2023-06-03_31112-3_0,2023-06-03_31112-3_1,1
80416,80416,2023-06-03_35104-5_0,2023-06-03_35104-5_1,1
80416,80416,2023-06-03_35170-1_0,2023-06-03_35170-1_1,1
80416,80416,2023-06-03_3560-1_0,2023-06-03_3560-1_1,1
80416,80416,2023-06-03_53104-5_0,2023-06-03_53104-5_1,1
80416,80416,2023-06-03_53170-1_0,2023-06-03_53170-1_1,1
80416,80416,2023-06-03_5360-1_0,2023-06-03_5360-1_1,1
24638,24638,2023-06-04_1002-3_0,2023-06-04_1002-3_1,1
24638,24638,2023-06-04_1102-3_0,2023-06-04_1102-3_1,1
80416,80416,2023-06-04_13112-3_0,2023-06-04_13112-3_1,1
47258,47258,2023-06-04_1913-2_0,2023-06-04_1913-2_1,1
80416,80416,2023-06-04_31112-3_0,2023-06-04_31112-3_1,1
80416,80416,2023-06-04_35104-5_0,2023-06-04_35104-5_1,1
80416,80416,2023-06-04_35170-1_0,2023-06-04_35170-1_1,1
80416,80416,2023-06-04_3560-1_0,2023-06-04_3560-1_1,1
80416,80416,2023-06-04_53104-5_0,2023-06-04_53104-5_1,1
80416,80416,2023-06-04_53170-1_0,2023-06-04_53170-1_1,1
80416,80416,2023-06-04_5360-1_0,2023-06-04_5360-1_1,1
24638,24638,2023-06-05_1002-3_0,2023-06-05_1002-3_1,1
24638,24638,2023-06-05_1102-3_0,2023-06-05_1102-3_1,1
80416,80416,2023-06-05_13112-3_0,2023-06-05_13112-3_1,1
47258,47258,2023-06-05_1913-2_0,2023-06-05_1913-2_1,1
80416,80416,2023-06-05_31112-3_0,2023-06-05_31112-3_1,1
80416,80416,2023-06-05_35104-5_0,2023-06-05_35104-5_1,1
80416,80416,2023-06-05_35170-1_0,2023-06-05_35170-1_1,1
80416,80416,2023-06-05_3560-1_0,2023-06-05_3560-1_1,1
80416,80416,2023-06-05_53104-5_0,2023-06-05_53104-5_1,1
80416,80416,2023-06-05_53170-1_0,2023-06-05_53170-1_1,1
80416,80416,2023-06-05_5360-1_0,2023-06-05_5360-1_1,1
24638,24638,2023-06-06_1002-3_0,2023-06-06_1002-3_1,1
24638,24638,2023-06-06_1102-3_0,2023-06-06_1102-3_1,1
80416,80416,2023-06-06_13112-3_0,2023-06-06_13112-3_1,1
47258,47258,2023-06-06_1913-2_0,2023-06-06_1913-2_1,1
80416,80416,2023-06-06_31112-3_0,2023-06-06_31112-3_1,1
80416,80416,2023-06-06_35104-5_0,2023-06-06_35104-5_1,1
80416,80416,2023-06-06_35170-1_0,2023-06-06_35170-1_1,1
80416,80416,2023-06-06_3560-1_0,2023-06-06_3560-1_1,1
80416,80416,2023-06-06_53104-5_0,2023-06-06_53104-5_1,1
80416,80416,2023-06-06_53170-1_0,2023-06-06_53170-1_1,1
80416,80416,2023-06-06_5360-1_0,2023-06-06_5360-1_1,1
24638,24638,2023-06-07_1002-3_0,2023-06-07_1002-3_1,1
24638,24638,2023-06-07_1102-3_0,2023-06-07_1102-3_1,1
80416,80416,2023-06-07_13112-3_0,2023-06-07_13112-3_1,1
47258,47258,2023-06-07_1913-2_0,2023-06-07_1913-2_1,1
80416,80416,2023-06-07_31112-3_0,2023-06-07_31112-3_1,1
80416,80416,2023-06-07_35104-5_0,2023-06-07_35104-5_1,1
80416,80416,2023-06-07_35170-1_0,2023-06-07_35170-1_1,1
80416,80416,2023-06-07_3560-1_0,2023-06-07_3560-1_1,1
80416,80416,2023-06-07_53104-5_0,2023-06-07_53104-5_1,1
80416,80416,2023-06-07_53170-1_0,2023-06-07_53170-1_1,1
80416,80416,2023-06-07_5360-1_0,2023-06-07_5360-1_1,1
24638,24638,2023-06-08_1002-3_0,2023-06-08_1002-3_1,1
24638,24638,2023-06-08_1102-3_0,2023-06-08_1102-3_1,1
80416,80416,2023-06-08_13112-3_0,2023-06-08_13112-3_1,1
47258,47258,2023-06-08_1913-2_0,2023-06-08_1913-2_1,1
80416,80416,2023-06-08_31112-3_0,2023-06-08_31112-3_1,1
80416,80416,2023-06-08_35104-5_0,2023-06-08_35104-5_1,1
80416,80416,2023-06-08_35170-1_0,2023-06-08_35170-1_1,1
80416,80416,2023-06-08_3560-1_0,2023-06-08_3560-1_1,1
80416,80416,2023-06-08_53104-5_0,2023-06-08_53104-5_1,1
80416,80416,2023-06-08_53170-1_0,2023-06-08_53170-1_1,1
80416,80416,2023-06-08_5360-1_0,2023-06-08_5360-1_1,1
24638,24638,2023-06-09_1002-3_0,2023-06-09_1002-3_1,1
24638,24638,2023-06-09_1102-3_0,2023-06-09_1102-3_1,1
80416,80416,2023-06-09_13112-3_0,2023-06-09_13112-3_1,1
47258,47258,2023-06-09_1913-2_0,2023-06-09_1913-2_1,1
80416,80416,2023-06-09_31112-3_0,2023-06-09_31112-3_1,1
80416,80416,2023-06-09_35104-5_0,2023-06-09_35104-5_1,1
80416,80416,2023-06-09_35170-1_0,2023-06-09_35170-1_1,1
80416,80416,2023-06-09_3560-1_0,2023-06-09_3560-1_1,1
80416,80416,2023-06-09_53104-5_0,2023-06-09_53104-5_1,1
80416,80416,2023-06-09_53170-1_0,2023-06-09_53170-1_1,1
80416,80416,2023-06-09_5360-1_0,2023-06-09_5360-1_1,1
24638,24638,2023-06-10_1102-3_0,2023-06-10_1102-3_1,1
80416,80416,2023-06-10_13112-3_0,2023-06-10_13112-3_1,1
80416,80416,2023-06-10_31112-3_0,2023-06-10_31112-3_1,1
80416,80416,2023-06-10_35104-5_0,2023-06-10_35104-5_1,1
80416,80416,2023-06-10_35170-1_0,2023-06-10_35170-1_1,1
80416,80416,2023-06-10_3560-1_0,2023-06-10_3560-1_1,1
80416,80416,2023-06-10_53104-5_0,2023-06-10_53104-5_1,1
80416,80416,2023-06-10_53170-1_0,2023-06-10_53170-1_1,1
80416,80416,2023-06-10_5360-1_0,2023-06-10_5360-1_1,1
80416,80416,2023-06-11_13112-3_0,2023-06-11_13112-3_1,1
80416,80416,2023-06-11_31112-3_0,2023-06-11_31112-3_1,1
80416,80416,2023-06-11_35104-5_0,2023-06-11_35104-5_1,1
80416,80416,2023-06-11_35170-1_0,2023-06-11_35170-1_1,1
80416,80416,2023-06-11_3560-1_0,2023-06-11_3560-1_1,1
80416,80416,2023-06-11_53104-5_0,2023-06-11_53104-5_1,1
80416,80416,2023-06-11_53170-1_0,2023-06-11_53170-1_1,1
80416,80416,2023-06-11_5360-1_0,2023-06-11_5360-1_1,1
80416,80416,2023-06-12_13112-3_0,2023-06-12_13112-3_1,1
80416,80416,2023-06-12_31112-3_0,2023-06-12_31112-3_1,1
80416,80416,2023-06-12_35104-5_0,2023-06-12_35104-5_1,1
80416,80416,2023-06-12_35170-1_0,2023-06-12_35170-1_1,1
80416,80416,2023-06-12_3560-1_0,2023-06-12_3560-1_1,1
80416,80416,2023-06-12_53104-5_0,2023-06-12_53104-5_1,1
80416,80416,2023-06-12_53170-1_0,2023-06-12_53170-1_1,1
80416,80416,2023-06-12_5360-1_0,2023-06-12_5360-1_1,1
24638,24638,2023-06-13_1002-3_0,2023-06-13_1002-3_1,1
80416,80416,2023-06-13_13112-3_0,2023-06-13_13112-3_1,1
80416,80416,2023-06-13_31112-3_0,2023-06-13_31112-3_1,1
80416,80416,2023-06-13_35104-5_0,2023-06-13_35104-5_1,1
80416,80416,2023-06-13_35170-1_0,2023-06-13_35170-1_1,1
80416,80416,2023-06-13_3560-1_0,2023-06-13_3560-1_1,1
80416,80416,2023-06-13_53104-5_0,2023-06-13_53104-5_1,1
80416,80416,2023-06-13_53170-1_0,2023-06-13_53170-1_1,1
80416,80416,2023-06-13_5360-1_0,2023-06-13_5360-1_1,1
24638,24638,2023-06-14_1002-3_0,2023-06-14_1002-3_1,1
24638,24638,2023-06-14_1102-3_0,2023-06-14_1102-3_1,1
80416,80416,2023-06-14_13112-3_0,2023-06-14_13112-3_1,1
80416,80416,2023-06-14_31112-3_0,2023-06-14_31112-3_1,1
80416,80416,2023-06-14_35104-5_0,2023-06-14_35104-5_1,1
80416,80416,2023-06-14_35170-1_0,2023-06-14_35170-1_1,1
80416,80416,2023-06-14_3560-1_0,2023-06-14_3560-1_1,1
80416,80416,2023-06-14_53104-5_0,2023-06-14_53104-5_1,1
80416,80416,2023-06-14_53170-1_0,2023-06-14_53170-1_1,1
80416,80416,2023-06-14_5360-1_0,2023-06-14_5360-1_1,1
