route_id,service_id,trip_id,trip_headsign,trip_short_name
IC,2023-05-08,2023-05-08_1002-3,Białystok,1002 Zamenhof
TLK,2023-05-08,2023-05-08_10100-1,Białystok,10100 Żubr
TLK,2023-05-08,2023-05-08_10110-1,Warszawa Wschodnia,10110 Żubr
IC,2023-05-08,2023-05-08_1100-1,Łódź Fabryczna,1100 Narew
IC,2023-05-08,2023-05-08_1102-3,Warszawa Centralna,1102 Zamenhof
ZKA IC,2023-05-08,2023-05-08_1105,Białystok,ZKA 609 Narew
ZKA IC,2023-05-08,2023-05-08_1108-9,Tomaszów Mazowiecki,ZKA 801 Barbakan
ZKA IC,2023-05-08,2023-05-08_1110-1,Tomaszów Mazowiecki,ZKA 803 Kazimierz
IC,2023-05-08,2023-05-08_11100-1,Terespol,11100 Skaryna
IC,2023-05-08,2023-05-08_11102-3,Terespol,11102 Mickiewicz
IC,2023-05-08,2023-05-08_11104-5,Terespol,11104 Starzyński
IC,2023-05-08,2023-05-08_11106-7,Terespol,11106 Niemcewicz
IC,2023-05-08,2023-05-08_11110-1,Warszawa Wschodnia,11110 Skaryna
IC,2023-05-08,2023-05-08_11112-3,Warszawa Wschodnia,11112 Mickiewicz
IC,2023-05-08,2023-05-08_11114-5,Warszawa Wschodnia,11114 Starzyński
IC,2023-05-08,2023-05-08_11116-7,Warszawa Zachodnia,11116 Niemcewicz
ZKA IC,2023-05-08,2023-05-08_1112-3,Tomaszów Mazowiecki,ZKA 805 Cegielski
ZKA IC,2023-05-08,2023-05-08_1114-5,Piotrków Trybunalski,ZKA 808 Cegielski
ZKA IC,2023-05-08,2023-05-08_1116-7,Tomaszów Mazowiecki,ZKA 811 Kazimierz
IC,2023-05-08,2023-05-08_1200-1,Lublin Główny,1200 Czartoryski
IC,2023-05-08,2023-05-08_12010-1,Jagodin,12010 Kiev Express
IC,2023-05-08,2023-05-08_1207-6,Lublin Główny,1206 Rubinstein
IC,2023-05-08,2023-05-08_12100-1,Chełm,12100 Chełmianin
TLK,2023-05-08,2023-05-08_12110-1,Kielce,12110 Nida
TLK,2023-05-08,2023-05-08_12120-1,Lublin Główny,12120 Inka
TLK,2023-05-08,2023-05-08_12122-3,Lublin Główny,12122 Czechowicz
EIP,2023-05-08,2023-05-08_1300-1,Kraków Główny,1300
IC,2023-05-08,2023-05-08_13000-1,Kraków Główny,143 Hańcza
EIP,2023-05-08,2023-05-08_1302-3,Kraków Główny,1302
EIP,2023-05-08,2023-05-08_1304-5,Kraków Główny,1304
EIP,2023-05-08,2023-05-08_1306-7,Kraków Główny,1306
EIP,2023-05-08,2023-05-08_1308-9,Kraków Główny,1308
EIP,2023-05-08,2023-05-08_1310-1,Kraków Główny,1310
IC,2023-05-08,2023-05-08_13100-1,Przemyśl Główny,13100 Malinowski
IC,2023-05-08,2023-05-08_13102-3,Kraków Główny,13102 Marszałek Piłsudski
IC,2023-05-08,2023-05-08_13104-5,Przemyśl Główny,13104 Witos
IC,2023-05-08,2023-05-08_13106-7,Przemyśl Główny,13106 San
IC,2023-05-08,2023-05-08_13108-9,Kraków Główny,13108 Reymont
IC,2023-05-08,2023-05-08_13110-1,Kraków Główny,13110 Kinga
IC,2023-05-08,2023-05-08_13112-3_0,Zakopane,13112 Karłowicz
ZKA IC,2023-05-08,2023-05-08_13112-3_1,Zakopane,13112 Karłowicz
EIP,2023-05-08,2023-05-08_1312-3,Kraków Główny,1312
EIP,2023-05-08,2023-05-08_1400-1,Katowice,1400
IC,2023-05-08,2023-05-08_14000-1,Bohumin,116 Silesia
IC,2023-05-08,2023-05-08_14002-3,Petrovice U Karvine,103 Polonia
IC,2023-05-08,2023-05-08_14004-5,Bohumin,131 Batory
IC,2023-05-08,2023-05-08_14006-7,Bohumin,112 Silesia
IC,2023-05-08,2023-05-08_14008-9,Bohumin Vrbice,110 Silesia
IC,2023-05-08,2023-05-08_14010-1,Bohumin,407 Chopin
EIC,2023-05-08,2023-05-08_1410-1,Katowice,1410 Ondraszek
TLK,2023-05-08,2023-05-08_14100-1,Katowice,14100 Chemik
IC,2023-05-08,2023-05-08_1420-1,Bielsko-Biała Główna,1420 Daszyński
IC,2023-05-08,2023-05-08_1422-3,Bielsko-Biała Główna,1422 Pilecki
EIP,2023-05-08,2023-05-08_1500-1,Gdynia Główna,1500
EIP,2023-05-08,2023-05-08_1502-3,Gdynia Główna,1502
IC,2023-05-08,2023-05-08_1510-1,Gdynia Główna,1510 Słowiniec
TLK,2023-05-08,2023-05-08_15102-3,Gdynia Główna,15102 Biebrza
IC,2023-05-08,2023-05-08_1512-3,Gdynia Główna,1512 Wybrzeże
IC,2023-05-08,2023-05-08_1520-1,Olsztyn Główny,1520 Warmia
IC,2023-05-08,2023-05-08_1522-3,Olsztyn Główny,1522 Mazury
IC,2023-05-08,2023-05-08_1524-5,Bydgoszcz Główna,1524 Kopernik
IC,2023-05-08,2023-05-08_1527,Bydgoszcz Główna,1526 Moniuszko
IC,2023-05-08,2023-05-08_1528-9,Bydgoszcz Główna,1528 Rejewski
IC,2023-05-08,2023-05-08_1530-1,Bydgoszcz Główna,1530 Brda
IC,2023-05-08,2023-05-08_1532-3,Gdynia Główna,1532 Kociewie
EIC,2023-05-08,2023-05-08_1600-1,Wrocław Główny,1600 Panorama
EIP,2023-05-08,2023-05-08_1602-3,Wrocław Główny,1602
TLK,2023-05-08,2023-05-08_16100-1,Jelenia Góra,16100 Orzeszkowa
IC,2023-05-08,2023-05-08_16102-3,Wrocław Główny,16102 Dąbrowska
IC,2023-05-08,2023-05-08_16104-5,Wrocław Główny,16104 Nałkowska
TLK,2023-05-08,2023-05-08_16170-1,Jelenia Góra,16170 Karkonosze
IC,2023-05-08,2023-05-08_1620-1,Wrocław Główny,1620 Asnyk
IC,2023-05-08,2023-05-08_1624-5,Wrocław Główny,1624 Fredro
IC,2023-05-08,2023-05-08_1626-7,Zgorzelec,1626 Łużyce
IC,2023-05-08,2023-05-08_1628-9,Wrocław Główny,1628 Oleńka
EIC,2023-05-08,2023-05-08_17000-1,Frankfurt (Oder),248 Berlin-Warszawa-Express
EIC,2023-05-08,2023-05-08_17002-3,Frankfurt (Oder),246 Berlin-Warszawa-Express
EIC,2023-05-08,2023-05-08_17004-5,Frankfurt (Oder),48 Berlin-Warszawa-Express
EIC,2023-05-08,2023-05-08_17008-9,Frankfurt (Oder),44 Berlin-Warszawa-Express
EIC,2023-05-08,2023-05-08_17010-1,Frankfurt (Oder),40 Berlin-Warszawa-Express
IC,2023-05-08,2023-05-08_17100-1,Zielona Góra Główna,17101 Dionizos
IC,2023-05-08,2023-05-08_17102-3,Zielona Góra Główna,17102 Zielonogórzanin
IC,2023-05-08,2023-05-08_17104-5,Poznań Główny,17104 Warta
EIC,2023-05-08,2023-05-08_1800-1,Szczecin Główny,1800 Chrobry
IC,2023-05-08,2023-05-08_18100-1,Szczecin Główny,18100 Gałczyński
IC,2023-05-08,2023-05-08_18102-3,Świnoujście,18102 Podlasiak
IC,2023-05-08,2023-05-08_18105-4_0,Szczecin Główny,18104 Rybak
IC,2023-05-08,2023-05-08_18105-4_1,Szczecin Główny,18104 Rybak
IC,2023-05-08,2023-05-08_18106-7,Świnoujście,18106 Mewa
IC,2023-05-08,2023-05-08_18108-9,Poznań Główny,18108 Włókniarz
IC,2023-05-08,2023-05-08_18110-1,Piła Główna,18110 Noteć
IC,2023-05-08,2023-05-08_18115-4,Kołobrzeg,18114 Pobrzeże
TLK,2023-05-08,2023-05-08_18170-1,Świnoujście,18170 Uznam
IC,2023-05-08,2023-05-08_1900-1,Łódź Fabryczna,1900 Boryna
